term,lower,upper,est,label
scale(nat_land),0.5997947850066013,0.7431338263725962,0.6678138313351449,natural landcover
scale(wide_linear),1.4307261064160983,1.882679874340953,1.6432734959345643,wide linear features
scale(white_tailed_deer),0.9367070156200753,1.2101553077860736,1.066213895696352,white-tailed deer
scale(moose),0.8366341822522666,1.048416151334796,0.9385295701186636,moose
scale(red_squirrel),0.9885907601355195,1.1884054506255275,1.0842046235084308,red squirrel
scale(snowshoe_hare),1.100306872002279,1.3268463058119526,1.2071617523154696,snowshoe hare
scale(grey_wolf),1.0925519709869527,1.3330350901715502,1.208671737498827,grey wolf
scale(lynx),1.0719679468198968,1.3052621215729265,1.1838325035262205,lynx
scale(fisher),0.9213775340228345,1.1230104823310254,1.0181007310709944,fisher
